model,wins,losses,ties,win_rate,endpoint
gpt-4.1-mini,87,6,0,0.9354838709677419,ADME_Sol
gpt-4o-mini,65,14,0,0.8227848101265823,ADME_Sol
mistral,45,49,0,0.4787234042553192,ADME_Sol
gemma,28,54,0,0.34146341463414637,ADME_Sol
llama3,25,58,0,0.30120481927710846,ADME_Sol
phi3,15,84,0,0.15151515151515152,ADME_Sol
gpt-4.1-mini,71,3,0,0.9594594594594594,ADME_rPPB
gpt-4o-mini,72,14,0,0.8372093023255814,ADME_rPPB
mistral,34,41,0,0.4533333333333333,ADME_rPPB
gemma,30,54,0,0.35714285714285715,ADME_rPPB
phi3,16,58,0,0.21621621621621623,ADME_rPPB
llama3,16,69,0,0.18823529411764706,ADME_rPPB
gpt-4.1-mini,85,7,0,0.9239130434782609,ADME_RLM
gpt-4o-mini,70,17,0,0.8045977011494253,ADME_RLM
mistral,36,49,0,0.4235294117647059,ADME_RLM
llama3,25,49,0,0.33783783783783783,ADME_RLM
gemma,22,63,0,0.25882352941176473,ADME_RLM
phi3,16,69,0,0.18823529411764706,ADME_RLM
gpt-4.1-mini,71,3,0,0.9594594594594594,ADME_HLM
gpt-4o-mini,63,21,0,0.75,ADME_HLM
gemma,39,48,0,0.4482758620689655,ADME_HLM
mistral,32,42,0,0.43243243243243246,ADME_HLM
llama3,19,62,0,0.2345679012345679,ADME_HLM
phi3,12,60,0,0.16666666666666666,ADME_HLM
gpt-4.1-mini,81,4,0,0.9529411764705882,ADME_hPPB
gpt-4o-mini,65,20,0,0.7647058823529411,ADME_hPPB
gemma,33,50,0,0.39759036144578314,ADME_hPPB
mistral,31,52,0,0.37349397590361444,ADME_hPPB
llama3,22,64,0,0.2558139534883721,ADME_hPPB
phi3,18,60,0,0.23076923076923078,ADME_hPPB
gpt-4.1-mini,79,3,0,0.9634146341463414,ADME_MDR1_ER
gpt-4o-mini,64,15,0,0.810126582278481,ADME_MDR1_ER
gemma,36,43,0,0.45569620253164556,ADME_MDR1_ER
mistral,32,57,0,0.3595505617977528,ADME_MDR1_ER
llama3,24,67,0,0.26373626373626374,ADME_MDR1_ER
phi3,21,71,0,0.22826086956521738,ADME_MDR1_ER
