feature,mean_abs_shap
MolLogP,18.463550150213425
MolMR,10.388875530083117
Kappa2,8.648973601517696
TPSA,7.897310032587025
fr_para_hydroxylation,7.537528362516218
Phi,7.325473189062426
MaxAbsEStateIndex,6.903862912952415
EState_VSA7,6.894040699363875
VSA_EState3,6.5884429283796
FpDensityMorgan3,6.495822386297078
Chi1v,5.655804417727828
fr_ester,5.364080272929642
VSA_EState6,5.1453457360641845
VSA_EState5,4.819490268351577
PEOE_VSA6,4.6088937796819
SlogP_VSA3,4.550600487130296
EState_VSA4,4.399511452550734
SlogP_VSA10,4.321441494423137
BCUT2D_MRLOW,3.945816494680581
AvgIpc,3.8839562748613448
SMR_VSA7,3.867291575910101
Chi3v,3.85840315650659
qed,3.576427752897188
PEOE_VSA7,3.5557653301331746
FpDensityMorgan2,3.520903936856187
NHOHCount,3.5153927159803864
SMR_VSA3,3.498020105382224
SMR_VSA6,3.4194851738352305
VSA_EState8,3.3664056869781547
Chi2n,3.1278905570699207
PEOE_VSA8,3.079862278636228
BCUT2D_CHGLO,3.0552977817037834
MaxPartialCharge,3.018139337626739
Chi0n,2.97814439221036
Chi0v,2.9132452274948544
fr_nitrile,2.8861875353657562
Kappa3,2.8570867228817827
Chi4v,2.7555690276828946
VSA_EState2,2.699257541877136
Chi2v,2.698206542916821
SlogP_VSA6,2.6549356496126872
VSA_EState1,2.6408925720980436
EState_VSA5,2.6370507640539294
EState_VSA3,2.553558619916215
SlogP_VSA4,2.5353213728186628
BCUT2D_MWLOW,2.5108893086305826
Chi0,2.481111982300288
SlogP_VSA2,2.4259868354769885
HallKierAlpha,2.3715428319504688
VSA_EState7,2.371402380997865
MinAbsPartialCharge,2.3614568713400326
LabuteASA,2.3459009359467333
FpDensityMorgan1,2.3232168726894247
SPS,2.250949459309674
SMR_VSA5,2.2409876246467877
EState_VSA8,2.1834405808744863
PEOE_VSA1,2.1780206438531398
Chi1n,2.154383945667119
Kappa1,2.1336546913637666
PEOE_VSA10,2.116145766187748
PEOE_VSA2,2.0687259541974576
VSA_EState4,1.9836996392682409
fr_methoxy,1.9780146259213784
ExactMolWt,1.9724079540113382
Chi4n,1.9503276104804959
BCUT2D_MWHI,1.9017043067014872
SlogP_VSA5,1.8700588787525014
SlogP_VSA1,1.8480683077125497
EState_VSA10,1.8477616081180288
BCUT2D_LOGPHI,1.8474760916651922
BCUT2D_LOGPLOW,1.7571524740264806
MinEStateIndex,1.7122350952029628
NumHDonors,1.6952810102468587
PEOE_VSA12,1.6734336735180517
PEOE_VSA9,1.6674293044805142
fr_Ar_N,1.6591894341698399
BCUT2D_CHGHI,1.649671235602172
EState_VSA2,1.6379518333694245
BalabanJ,1.633659029668263
Ipc,1.586074272115888
Chi3n,1.5508077993802454
MinAbsEStateIndex,1.5083082642102936
FractionCSP3,1.4941201821190153
EState_VSA6,1.4587140789829143
SlogP_VSA8,1.3920267822946983
HeavyAtomMolWt,1.383238442958372
PEOE_VSA13,1.3259376411949855
VSA_EState9,1.3049695874553164
BertzCT,1.3011068470290916
fr_aryl_methyl,1.3008184347941485
fr_C_O_noCOO,1.2961275960503262
MinPartialCharge,1.287940904869343
PEOE_VSA11,1.265007388435866
SMR_VSA10,1.2058508913261698
EState_VSA1,1.2003416573782855
fr_NH0,1.1948718299651668
BCUT2D_MRHI,1.1933565872114549
MaxAbsPartialCharge,1.1702719119849996
fr_sulfide,1.1488292454011537
Chi1,1.1309804811042843
VSA_EState10,1.082539511881622
fr_aniline,0.9975193143163725
NumRotatableBonds,0.995365328542588
MaxEStateIndex,0.9793229224228668
NumSaturatedHeterocycles,0.8942387786429844
SMR_VSA1,0.8809836413244511
NOCount,0.8777504195888564
