feature,mean_abs_shap
MolLogP,0.20015093549546775
PEOE_VSA6,0.0625153771538536
TPSA,0.05880112530354074
SMR_VSA3,0.046707338933987694
MolMR,0.046586867314338545
FpDensityMorgan3,0.040987247081029805
VSA_EState3,0.03587388394180029
fr_COO,0.030942347065575877
VSA_EState5,0.030751855093740257
PEOE_VSA1,0.03042903242869761
NumRotatableBonds,0.0293880755399514
Phi,0.029191555354856995
SMR_VSA6,0.027525420589549352
Chi1v,0.025341242657561602
SPS,0.024530078860413973
BCUT2D_MRLOW,0.024431677782454368
VSA_EState2,0.024391538110279058
MinPartialCharge,0.02412513314861433
SlogP_VSA8,0.0230204140660336
qed,0.020662641417990114
AvgIpc,0.019632206522180413
FractionCSP3,0.019200721823482186
VSA_EState7,0.019067871186800728
NHOHCount,0.018940981714740287
PEOE_VSA9,0.018707169319924898
fr_piperdine,0.01821000726814061
Chi3v,0.018129285154592154
EState_VSA7,0.017081560491683287
FpDensityMorgan1,0.0170362943739437
MaxPartialCharge,0.016629978780191054
MaxAbsEStateIndex,0.01637012422802689
Kappa2,0.015910008830679476
VSA_EState8,0.015867928592893286
VSA_EState6,0.015527665411248061
EState_VSA6,0.015376997704513388
PEOE_VSA7,0.015188970290126872
EState_VSA4,0.01483751343296491
BCUT2D_MWLOW,0.014695438370013294
BCUT2D_LOGPHI,0.014036189282542192
PEOE_VSA8,0.013912183084262028
EState_VSA3,0.013645384819797527
NumHeteroatoms,0.013633612291113423
SlogP_VSA4,0.013246982250566005
BCUT2D_LOGPLOW,0.012922407931842706
SMR_VSA10,0.01278720907584856
Kappa3,0.01272906006467019
PEOE_VSA3,0.012547617898924031
SlogP_VSA2,0.012374650923285001
SlogP_VSA6,0.012291411179576
HallKierAlpha,0.012128496584871867
PEOE_VSA2,0.012107534531754316
fr_para_hydroxylation,0.011893359663851957
SMR_VSA9,0.01171818161284729
EState_VSA9,0.011363029828578605
SMR_VSA5,0.011226382813182008
BCUT2D_MRHI,0.01117878894909587
BCUT2D_MWHI,0.011084229434752594
BCUT2D_CHGLO,0.011084167012664512
BalabanJ,0.010960326669264572
BCUT2D_CHGHI,0.0109185988102471
PEOE_VSA12,0.010823699163106408
SMR_VSA4,0.010798819614128515
VSA_EState4,0.010723930796728648
Chi4v,0.010672062926731233
Chi4n,0.010608646881775844
VSA_EState1,0.010356023215373036
SlogP_VSA1,0.010299745843719057
EState_VSA5,0.010150270916857558
MinAbsEStateIndex,0.009914473020002347
VSA_EState9,0.009771712892991696
SlogP_VSA3,0.009738666907212357
MaxAbsPartialCharge,0.009732411672471939
PEOE_VSA10,0.00968005227749422
PEOE_VSA4,0.009330747593209423
SMR_VSA7,0.009190652159215898
Chi2v,0.008942417507851477
PEOE_VSA13,0.008540743802636122
NumSaturatedHeterocycles,0.008438856923463267
MinAbsPartialCharge,0.00836866735360586
Ipc,0.008351029160403636
SlogP_VSA5,0.008342867329945354
Chi1n,0.008274289086168613
fr_COO2,0.008173642549421925
FpDensityMorgan2,0.00814684292185227
BertzCT,0.008038616109576359
fr_bicyclic,0.00803424957372581
SlogP_VSA10,0.007984230347812147
fr_NH1,0.007820203859499572
fr_thiophene,0.007638258078119147
NumHDonors,0.007273003521388739
NumAliphaticCarbocycles,0.007188996880886774
Chi0v,0.007109888008575559
MinEStateIndex,0.0070693755219675405
fr_aryl_methyl,0.00677880990905385
fr_Ar_N,0.006742007507093292
LabuteASA,0.006724256178365494
PEOE_VSA5,0.00659314385066779
EState_VSA2,0.006238578444533229
Chi2n,0.0058575222178246355
fr_pyridine,0.005792093691192481
Chi0n,0.005759431715316655
HeavyAtomMolWt,0.005742404789505929
Chi3n,0.005704024108501399
EState_VSA8,0.00568040383565147
NumAliphaticHeterocycles,0.005559140974189185
EState_VSA10,0.00544005596504193
Chi1,0.005433692800090172
PEOE_VSA11,0.005422678257164812
fr_ester,0.005048210054214104
fr_NH0,0.004911375980563792
VSA_EState10,0.004616102117984768
Kappa1,0.0045664846177446055
EState_VSA1,0.004444501296160783
NumSaturatedRings,0.004294520078849563
SMR_VSA1,0.0041867242563684145
Chi0,0.003996414546829524
NOCount,0.003990070565367482
fr_C_O,0.0038526103571673684
fr_aniline,0.003744354242739841
NumHAcceptors,0.003541817085050522
NumSaturatedCarbocycles,0.003463097819962609
MolWt,0.003375003119766844
fr_Ndealkylation2,0.003117090848537799
ExactMolWt,0.0029772968587704865
fr_halogen,0.002914368652104059
SlogP_VSA11,0.0027357437856094773
NumAromaticHeterocycles,0.0025326837293882095
MaxEStateIndex,0.002457928290663855
NumHeterocycles,0.002453897288657266
fr_ether,0.0022903016854087413
NumValenceElectrons,0.0020746810550000367
NumAmideBonds,0.0017631872173359262
SlogP_VSA12,0.0017487786137323376
fr_nitrile,0.0015906446844726795
PEOE_VSA14,0.001517164322332626
fr_Al_OH,0.0014665956820110893
fr_unbrch_alkane,0.0014273278248073005
