feature,mean_abs_shap
FractionCSP3,2.1116144417065335
MolLogP,1.5891274320617426
SMR_VSA10,1.4905343095834414
PEOE_VSA1,1.4431474143008527
SlogP_VSA2,1.2954229432861701
BertzCT,1.184710935930267
BCUT2D_MRLOW,0.9550485038284803
HallKierAlpha,0.9139587197857753
BCUT2D_MWLOW,0.8245319979127729
VSA_EState3,0.780517925784075
SMR_VSA6,0.7781944517872358
VSA_EState7,0.7754624309882427
qed,0.7357421087169134
VSA_EState5,0.7151670755206301
BCUT2D_LOGPLOW,0.7064057072082367
SMR_VSA9,0.697254558871265
EState_VSA5,0.6789303530909029
Phi,0.670984685924839
PEOE_VSA2,0.6585852811081246
SlogP_VSA8,0.6297663306725971
PEOE_VSA5,0.6025696285058243
PEOE_VSA9,0.5953068175871453
VSA_EState2,0.5952769383316807
PEOE_VSA8,0.5950567887336413
EState_VSA8,0.5946066825784971
fr_imidazole,0.5609664532329558
Kappa2,0.5568257834272644
PEOE_VSA6,0.5539952477657124
EState_VSA2,0.5536917425050152
PEOE_VSA4,0.5160324922700426
VSA_EState6,0.5026772700531363
EState_VSA4,0.49934292971010225
EState_VSA3,0.4855294775299426
VSA_EState4,0.4788374454695249
EState_VSA7,0.4754326505007187
SMR_VSA7,0.4687345550673205
SlogP_VSA10,0.4652567215848987
TPSA,0.46144039169733697
HeavyAtomMolWt,0.4605739650198878
MinAbsEStateIndex,0.46041432566750795
FpDensityMorgan3,0.45899988444210094
MaxPartialCharge,0.4546412907530487
Chi2n,0.44008212865302343
VSA_EState1,0.43998141300658944
BCUT2D_LOGPHI,0.42672921844281597
BalabanJ,0.4043473294937548
NumRotatableBonds,0.4032181013150117
SMR_VSA3,0.4002507855413089
SlogP_VSA6,0.3994301512868433
BCUT2D_CHGLO,0.39816602312077
Chi4v,0.3934317387093532
SlogP_VSA1,0.38994251079534475
MaxAbsPartialCharge,0.38799456440602015
Kappa3,0.3826897364082916
FpDensityMorgan2,0.37978107778140013
VSA_EState8,0.37183897382087217
SMR_VSA5,0.3684384004354324
PEOE_VSA7,0.3646195301474486
fr_Ndealkylation2,0.36171136819621086
BCUT2D_MRHI,0.3538892944739194
BCUT2D_CHGHI,0.35067834519126545
MaxAbsEStateIndex,0.34616907298367516
EState_VSA6,0.3443576536496675
EState_VSA1,0.33195066657104405
FpDensityMorgan1,0.3295160306219865
Chi3v,0.3291453686887063
fr_Ar_NH,0.32913265806901626
fr_COO,0.3277956783722711
Chi1n,0.30819496872689656
Kappa1,0.3025027008542467
NumAromaticCarbocycles,0.29837455632179594
SlogP_VSA3,0.29634598044950355
VSA_EState9,0.29512932108514206
MinEStateIndex,0.29489308494830735
Chi4n,0.2932559242999307
AvgIpc,0.2914587816381542
SlogP_VSA5,0.2896612101369224
PEOE_VSA10,0.27357828654628985
Chi2v,0.26814010155105067
PEOE_VSA3,0.26225827171722316
fr_aniline,0.2570773396103848
Ipc,0.254265164397434
BCUT2D_MWHI,0.25135344369308776
MinAbsPartialCharge,0.24961009882482438
fr_ether,0.24609460155175722
Chi3n,0.24357179133317866
MolMR,0.24162744120976637
Chi1v,0.2342610457400674
MinPartialCharge,0.21556201400478536
SPS,0.21204825248079254
Chi1,0.2087900900186881
NumAromaticRings,0.2067140220173447
SMR_VSA1,0.20005383252051176
fr_benzene,0.19927024457157325
LabuteASA,0.1969527499009239
PEOE_VSA11,0.19617299279324468
Chi0,0.19000662575093671
NumAromaticHeterocycles,0.183716845361315
MolWt,0.18221707485838767
ExactMolWt,0.1815159490628497
EState_VSA9,0.17190650050174613
Chi0n,0.16757975377319334
EState_VSA10,0.15680168028921415
fr_Nhpyrrole,0.14705972240167842
fr_NH0,0.14457339806320713
fr_Al_OH_noTert,0.14364160963517586
VSA_EState10,0.13674678226189665
fr_NH1,0.13081814546059653
NumValenceElectrons,0.1293358390186518
Chi0v,0.12002336883367257
PEOE_VSA12,0.11311262040976153
SlogP_VSA4,0.11144077224023198
fr_pyridine,0.11040747730827308
fr_Ar_N,0.10933354112166545
fr_ester,0.10235992110904163
fr_bicyclic,0.10126477048189082
fr_aryl_methyl,0.09811463927301795
NHOHCount,0.09132567565956905
NumHeteroatoms,0.08518504139872923
NOCount,0.08140183008668467
fr_C_O_noCOO,0.07928636832763342
fr_tetrazole,0.0701999422222562
PEOE_VSA14,0.06528921240715642
NumHAcceptors,0.06449453772570071
SMR_VSA4,0.06014799675065186
SMR_VSA2,0.05780986654219147
PEOE_VSA13,0.0564174547528755
NumSaturatedCarbocycles,0.054794804340259524
RingCount,0.05452626565564797
fr_furan,0.05096347481431734
MaxEStateIndex,0.049693681670367224
NumHeterocycles,0.04878371305569009
fr_methoxy,0.04860390000606341
fr_piperzine,0.04602936842267619
fr_C_O,0.04397228778920603
NumSaturatedRings,0.041066103195480215
fr_unbrch_alkane,0.04011368686964231
fr_COO2,0.03875342257143818
fr_thiophene,0.03373227560048969
NumAliphaticCarbocycles,0.026923584869700565
fr_para_hydroxylation,0.025143593056254927
SlogP_VSA12,0.025042901119231457
NumAliphaticRings,0.02402353174674088
SlogP_VSA11,0.023935180450352075
NumHDonors,0.022813356413498187
fr_piperdine,0.021122721896825347
fr_ArN,0.020085422704092293
NumAmideBonds,0.01775138140805579
SlogP_VSA7,0.01616325042218423
fr_priamide,0.01232724330841361
fr_Ndealkylation1,0.010595373612306338
fr_Ar_OH,0.010515503004678716
fr_halogen,0.010363404862590209
NumAliphaticHeterocycles,0.007226899107640758
fr_sulfonamd,0.00298266908799944
NumSaturatedHeterocycles,0.0018568143541152448
HeavyAtomCount,0.001717663951444188
fr_urea,0.0010656262557771539
fr_NH2,0.0010327579050457105
fr_thiazole,0.0008954104929475216
fr_Imine,0.0005532734301135934
fr_Ar_COO,0.0002028137815758702
fr_oxazole,0.00019171828474448175
SMR_VSA8,0.0
NumRadicalElectrons,0.0
EState_VSA11,0.0
SlogP_VSA9,0.0
NumAtomStereoCenters,0.0
NumBridgeheadAtoms,0.0
fr_N_O,0.0
fr_HOCCN,0.0
fr_C_S,0.0
fr_Al_OH,0.0
NumUnspecifiedAtomStereoCenters,0.0
NumSpiroAtoms,0.0
fr_Al_COO,0.0
fr_azide,0.0
fr_benzodiazepine,0.0
fr_barbitur,0.0
fr_allylic_oxid,0.0
fr_amide,0.0
fr_amidine,0.0
fr_SH,0.0
fr_aldehyde,0.0
fr_alkyl_carbamate,0.0
fr_ketone_Topliss,0.0
fr_ketone,0.0
fr_isothiocyan,0.0
fr_isocyan,0.0
fr_imide,0.0
fr_hdrzone,0.0
fr_hdrzine,0.0
fr_guanido,0.0
fr_dihydropyridine,0.0
fr_diazo,0.0
fr_epoxide,0.0
fr_alkyl_halide,0.0
fr_azo,0.0
fr_nitro,0.0
fr_nitrile,0.0
fr_lactam,0.0
fr_phos_ester,0.0
fr_phos_acid,0.0
fr_phenol_noOrthoHbond,0.0
fr_phenol,0.0
fr_oxime,0.0
fr_nitroso,0.0
fr_nitro_arom,0.0
fr_nitro_arom_nonortho,0.0
fr_morpholine,0.0
fr_lactone,0.0
fr_prisulfonamd,0.0
fr_quatN,0.0
fr_sulfide,0.0
fr_term_acetylene,0.0
fr_sulfone,0.0
fr_thiocyan,0.0
