feature,mean_abs_shap
MolLogP,0.2948576632591244
SMR_VSA10,0.05893662211686029
BCUT2D_CHGLO,0.03677411927763281
PEOE_VSA6,0.0354719758097067
SlogP_VSA2,0.03095406554075158
MaxPartialCharge,0.03044099262439649
SMR_VSA9,0.0281959868474734
VSA_EState5,0.02666338007929296
PEOE_VSA9,0.02620484385667642
BCUT2D_MRHI,0.02541315362835354
BertzCT,0.02257582724720623
PEOE_VSA1,0.021941994724870344
BalabanJ,0.020364501544530216
NumAromaticCarbocycles,0.02027904439621825
EState_VSA6,0.01991504973007844
NumSaturatedHeterocycles,0.019240546342286568
NumAliphaticHeterocycles,0.019101692015524023
VSA_EState6,0.018020317913564
FpDensityMorgan1,0.017983963298678837
PEOE_VSA10,0.017710965777188194
EState_VSA4,0.017530251958378103
SMR_VSA6,0.01656062697484815
SMR_VSA3,0.015756726670470966
SMR_VSA7,0.015703703031569236
HallKierAlpha,0.01533863295056891
PEOE_VSA8,0.015282620438542215
SlogP_VSA8,0.015237199882876078
BCUT2D_LOGPHI,0.01485225684256074
VSA_EState4,0.014780405262372856
MinAbsPartialCharge,0.014663417717366444
EState_VSA8,0.014358682859543795
VSA_EState9,0.014187407432793495
SlogP_VSA5,0.014002908924680648
MinPartialCharge,0.01389558389309799
MinAbsEStateIndex,0.013263949555214864
BCUT2D_MWLOW,0.013153863059863432
fr_Ndealkylation2,0.012924564756762739
EState_VSA5,0.012616666549602739
FpDensityMorgan2,0.012535573608294241
SPS,0.01238713171787591
MaxAbsPartialCharge,0.0123840833157123
BCUT2D_LOGPLOW,0.012056999467051457
MinEStateIndex,0.0120091761443141
EState_VSA7,0.011887787360054714
FractionCSP3,0.011815806953485837
FpDensityMorgan3,0.011678303278162579
Chi2v,0.011373247734541684
AvgIpc,0.011067361404158182
SlogP_VSA6,0.011026111826149883
SlogP_VSA1,0.010864746372734562
VSA_EState7,0.010801948671695488
EState_VSA2,0.010598741844160393
SMR_VSA1,0.010072163004540778
PEOE_VSA7,0.010070561053204695
BCUT2D_CHGHI,0.009603269408363887
VSA_EState10,0.009290585015038958
MaxAbsEStateIndex,0.009137530167633813
Chi0n,0.009035447109499873
VSA_EState8,0.009020998631473948
PEOE_VSA14,0.008941192078267705
Phi,0.008892002368454376
TPSA,0.008623619078887156
HeavyAtomMolWt,0.008517073675671262
SlogP_VSA3,0.00843858254920261
BCUT2D_MRLOW,0.008173785788538751
PEOE_VSA11,0.007986846517056107
Chi4n,0.007971587401207675
qed,0.007923337475857023
SlogP_VSA4,0.007838710165649533
PEOE_VSA5,0.007820985849523222
VSA_EState3,0.007719265203578408
SMR_VSA4,0.007613332595285417
VSA_EState2,0.007564246460963809
Chi1,0.007523063863381453
MolMR,0.007498438776539707
EState_VSA3,0.007498388796321984
BCUT2D_MWHI,0.007388726037258232
PEOE_VSA13,0.0069658577474202435
NumRotatableBonds,0.006961166111579902
LabuteASA,0.006913366466525853
PEOE_VSA3,0.006904837571008589
