feature,mean_abs_shap
MolLogP,0.20404583284513067
SMR_VSA10,0.05905673255309957
SlogP_VSA2,0.05527618700123361
MaxPartialCharge,0.046667995654905765
BertzCT,0.041611509948513585
FractionCSP3,0.04132495553992182
PEOE_VSA1,0.036826198133933105
SlogP_VSA6,0.033957334278966377
SMR_VSA6,0.032682707358046875
BCUT2D_CHGHI,0.029693752345658932
MinPartialCharge,0.029171775244086897
BalabanJ,0.026505851823217016
BCUT2D_MWHI,0.026079231940819837
BCUT2D_MWLOW,0.024908549875764286
SMR_VSA7,0.02382805897451275
EState_VSA5,0.022517937688229232
VSA_EState2,0.022334521793983833
SlogP_VSA10,0.020169868920779835
VSA_EState3,0.019967380430819786
BCUT2D_LOGPLOW,0.019099871330839995
AvgIpc,0.018803093396535478
VSA_EState5,0.01845892225680221
FpDensityMorgan1,0.018171582594734018
MinAbsPartialCharge,0.01811889673112015
SMR_VSA9,0.0177719929146033
EState_VSA3,0.017226217984945606
MaxAbsEStateIndex,0.016600038418769836
FpDensityMorgan2,0.01643995632462905
SlogP_VSA5,0.016261870649004213
SMR_VSA3,0.015984355546875998
VSA_EState8,0.015733159218490056
fr_para_hydroxylation,0.01561992863940251
HallKierAlpha,0.01546416460879316
VSA_EState10,0.014150965038538759
EState_VSA8,0.014023119789381271
PEOE_VSA9,0.013979887049471779
SPS,0.013557840230490394
BCUT2D_LOGPHI,0.0132701508953606
qed,0.013255076014886975
MinAbsEStateIndex,0.013060803505013338
SMR_VSA1,0.012970740077884608
PEOE_VSA7,0.012951321291234765
MinEStateIndex,0.012867490588555828
BCUT2D_MRHI,0.012214776500874294
SlogP_VSA8,0.012177819682634644
PEOE_VSA14,0.01180308386336952
fr_aniline,0.011796695703503083
BCUT2D_CHGLO,0.011733991402426105
SlogP_VSA3,0.011627212006304809
PEOE_VSA3,0.011591292342043473
PEOE_VSA6,0.011486369807598467
Chi2v,0.011404715831799323
EState_VSA1,0.011357142072048434
Chi1n,0.011182191265619108
FpDensityMorgan3,0.011083826267066492
NumSaturatedHeterocycles,0.010801439143239262
PEOE_VSA2,0.01073212004816539
Kappa1,0.010720074905741474
VSA_EState7,0.01060952266372844
EState_VSA2,0.0103900150135484
fr_C_O,0.010367666434575857
EState_VSA6,0.010209160541958046
fr_urea,0.010128032259897196
SlogP_VSA4,0.010043540741345338
SMR_VSA5,0.010027985667475106
EState_VSA4,0.009886931882636101
EState_VSA7,0.009658963604893498
HeavyAtomMolWt,0.009155338997483458
EState_VSA10,0.009090054173330624
fr_Ndealkylation2,0.009055802006968013
MolMR,0.008405605874598104
TPSA,0.008282498088022784
PEOE_VSA8,0.008274332556507998
Chi4v,0.008268893847048276
PEOE_VSA12,0.008259333691477458
PEOE_VSA13,0.00803314034055573
VSA_EState9,0.007751911660200534
PEOE_VSA4,0.007602550957110712
SlogP_VSA1,0.007518702625988623
PEOE_VSA10,0.007423597164894784
NHOHCount,0.00739840212497025
SMR_VSA4,0.007266716081709204
VSA_EState4,0.007232458030172555
Kappa2,0.0070991063290674755
LabuteASA,0.006897659067568969
Ipc,0.00678440015584441
Kappa3,0.006727359364163848
PEOE_VSA11,0.006658695870486698
Chi1v,0.006630654066431351
VSA_EState6,0.006608877404008494
NumRotatableBonds,0.006553927191218361
NumAliphaticCarbocycles,0.006444792688387123
Chi0v,0.006315892837267236
VSA_EState1,0.0059865754850900905
fr_sulfonamd,0.005773000137874604
fr_ketone,0.0055466008640266155
BCUT2D_MRLOW,0.005278546356146866
MaxAbsPartialCharge,0.005278106306117219
Phi,0.005060299052897615
MolWt,0.005002801103265984
Chi3n,0.004859329948462573
Chi3v,0.00432986769503779
fr_aryl_methyl,0.004070873039057896
NOCount,0.004008710902353956
NumHAcceptors,0.003911085494754338
NumValenceElectrons,0.0039058533491834763
Chi0n,0.0038141615176417393
EState_VSA9,0.0037674065162075923
PEOE_VSA5,0.0037250129335283837
Chi2n,0.0036779076331769542
Chi0,0.0036262423288942087
NumAliphaticHeterocycles,0.003584109149142442
NumHeteroatoms,0.0035826517946175164
NumSaturatedRings,0.0034465431544034564
fr_piperdine,0.003445095877232564
Chi4n,0.0034186805014165566
Chi1,0.003394415698903742
fr_NH1,0.003351789759968483
SlogP_VSA12,0.003137446493988503
fr_ether,0.003110146540941028
fr_NH0,0.0028326942173564516
fr_C_O_noCOO,0.0023227165844756973
NumSaturatedCarbocycles,0.0021666626464737584
fr_amide,0.0021574731178949295
MaxEStateIndex,0.0020665405510076566
SlogP_VSA7,0.0020622171221489445
NumAromaticHeterocycles,0.002024780792930581
SlogP_VSA11,0.0019092773688044267
fr_bicyclic,0.0018021202004356786
NumHDonors,0.0016281132209363847
fr_Ndealkylation1,0.0016194686118730468
NumHeterocycles,0.0014599209902772545
fr_pyridine,0.00104635531104585
fr_Ar_NH,0.0009906913096872783
ExactMolWt,0.0009615452448513872
fr_piperzine,0.0008819568232723915
HeavyAtomCount,0.0007593942988695167
fr_Ar_N,0.0006531111367996014
NumAmideBonds,0.0005737803766191723
NumAromaticCarbocycles,0.0005021147437538258
fr_NH2,0.0004385059511043847
SMR_VSA2,0.0004273951031446757
fr_halogen,0.00039895270068494946
NumAromaticRings,0.0003943710931198483
fr_imidazole,0.0002980492915327815
fr_Al_OH,0.0002862916077070717
fr_thiophene,0.00018523016654469453
fr_Nhpyrrole,0.00017078772834135334
RingCount,0.00015403038079240972
fr_methoxy,0.0001111884879970076
fr_morpholine,9.87804050240429e-05
fr_Ar_OH,5.9342048592206805e-05
fr_nitrile,5.828643422431438e-05
fr_benzene,5.7808594487765716e-05
fr_thiazole,4.7181914247084676e-05
NumAliphaticRings,4.3038780407175206e-05
NumRadicalElectrons,0.0
EState_VSA11,0.0
SlogP_VSA9,0.0
SMR_VSA8,0.0
fr_COO,0.0
fr_Al_COO,0.0
fr_Al_OH_noTert,0.0
NumUnspecifiedAtomStereoCenters,0.0
NumSpiroAtoms,0.0
NumAtomStereoCenters,0.0
NumBridgeheadAtoms,0.0
fr_ArN,0.0
fr_Ar_COO,0.0
fr_N_O,0.0
fr_HOCCN,0.0
fr_Imine,0.0
fr_C_S,0.0
fr_COO2,0.0
fr_ester,0.0
